Temperatur
72,489
79,459
70,49
68,85
73,144
78,818
75,312
78,17
75,569
78,797
71,011
77,718
74,112
67,589
74,961
71,566
67,401
71,552
79,251
69,891
78,486
67,7
74,385
77,157
75,793
72,328
71,801
78,359
67,639
76,298
65,757
69,631
69,862
79,101
72,633
69,377
78,937
79,386
77,994
65,114
74,768
73,422
69,76
79,993
66,749
74,063
71,507
76,116
75,531
73,899
77,85
69,479
75,726
75,886
77,126
70,273
70,128
66,303
73,454
75,934
77,059
70,221
74,264
78,472
66,038
66,981
72,938
68,88
69,143
70,032
67,231
70,089
77,068
67,808
69,029
69,186
71,207
70,952
68,617
74,136
76,107
74,084
78,419
76,687
77,08
73,633
70,856
66,097
69,659
66,468
68,934
72,611
70,84
72,147
76,115
66,557
66,182
73,274
68,729
71,067
78,327
67,77
66,399
77,203
79,128
65,339
74,108
67,349
66,43
75,92
78,91
65,339
76,838
70,964
78,899
79,469
78,242
75,362
77,389
76,838
69,062
69,43
69,955
65,409
71,435
66,337
66,394
79,364
79,689
70,173
71,39
77,943
71,874
75,688
79,674
75,985
69,41
75,782
67,513
78,269
76,367
71,114
79,337
69,04
70,329
75,46
79,787
74,226
75,723
72,013
78,706
69,042
79,63
66,809
66,036
79,693
77,023
74,296
78,039
68,067
66,08
73,094
73,474
74,08
73,291
79,725
73,318
71,537
73,452
73,638
66,268
72,651
68,172
65,246
67,759
68,072
69,538
79,572
65,407
78,645
65,926
75,905
71,398
73,224
77,978
70,211
68,83
71,453
74,138
67,736
68,016
73,835
72,101
70,984
68,056
68,682
73,193
68,229
73,577
69,29
76,351
77,064
66,182
66,585
73,654
75,646
70,495
66,626
73,288
65,449
78,265
78,305
69,682
74,41
76,068
78,077
78,566
74,104
72,152
68,229
79,987
74,756
77,368
76,465
68,938
67,346
75,74
67,375
73,712
78,547
66,476
68,776
72,177
74,941
79,414
79,075
71,08
65,535
78,455
77,758
70,954
78,585
71,577
76,149
73,749
68,881
73,398
77,488
72,237
73,352
77,92
78,067
78,459
73,418
79,26
75,609
72,321
77,58
73,477
78,592
75,155
70,597
75,599
77,688
65,848
77,086
71,173
75,56
79,906
76,208
65,475
77,555
75,99
79,941
71,761
65,985
69,491
67,958
66,981
67,158
72,964
66,652
75,146
72,395
76,753
71,195
70,553
73,839
66,149
69,464
76,826
68,128
74,889
79,399
78,2
72,058
74,525
78,221
70,929
76,279
73,255
68,116
78,881
70,079
72,311
71,69
75,569
73,647
74,864
68,957
66,725
67,485
73,609
65,133
72,756
71,854
78,07
77,87
76,904
75,319
79,002
77,469
70,048
70,514
77,643
75,124
75,573
70,07
72,067
76,342
72,874
79,208
70,322
70,569
71,472
66,698
72,538
70,026
72,143
75,436
68,648
67,706
77,992
65,706
73,548
78,006
73,065
70,512
73,976
76,333
65,93
65,387
69,909
73,437
79,947
72,409
73,34
75,897
79,627
79,815
78,385
67,845
73,138
74,725
71,864
67,675
69,78
70,181
78,994
77,302
78,977
72,156
74,614
65,756
72,758
74,768
68,062
75,918
79,552
71,995
66,302
78,505
73,762
67,912
74,605
74,326
66,591
76,45
66,953
69,468
75,904
72,439
66,539
70,775
74,81
65,7
74,289
68,848
75,355
78,647
76,373
68,418
70,526
74,137
65,574
74,31
76,667
68,301
70,503
65,139
78,749
67,155
76,702
74,165
65,896
69,493
74,879
70,675
72,737
79,321
66,424
71,454
78,5
78,833
69,931
65,39
73,995
77,567
79,381
79,712
77,664
68,903
73,769
66,827
66,17
65,206
70,266
67,275
68,899
79,253
70,611
76,868
77,758
67,891
79,643
72,793
68,308
79,363
69,01
67,514
67,971
77,213
69,073
79,392
73,111
78,711
70,737
71,935
74,247
75,374
67,829
68,919
65,46
78,174
68,322
78,97
69,07
78,48
70,768
66,289
67,807
71,162
71,639
79,289
67,618
68,58
77,224
71,681
75,115
78,453
75,957
72,877
74,833
67,578
71,782
75,735
78,657
66,426
75,164
75,08
73,033
74,063
66,461
71,03
77,674
69,908
65,599
66,519
73,749
65,947
78,898
68,419
65,627
70,237
65,929
72,606
78,036
68,964
75,33
69,345
76,737
68,551
72,24
67,193
74,526
79,543
75,257
77,173
69,214
75,039
72,172
78,407
78,687
66,505
75,087
68,504
69,692
68,923
65,734
66,904
71,309
73,833
74,333
69,954
71,199
78,121
68,273
70,766
77,824
72,658
68,043
67,184
68,467
69,199
77,58
74,861
72,215
77,472
79,026
65,3
68,954
75,602
66,37
68,755
72,672
78,826
76,393
66,282
69,019
72,817
72,361
78,044
75,651
79,997
65,649
78,961
75,609
79,412
70,092
68,908
79,868
67,973
77,627
71,477
73,25
66,906
66,287
79,965
75,293
71,81
72,307
65,958
70,417
70,706
67,525
71,362
76,707
67,173
67,628
68,451
65,087
76,104
73,293
79,802
73,52
65,964
75,604
71,077
69,829
71,248
70,611
74,363
74,694
72,789
75,115
68,865
74,897
72,795
73,827
73,544
67,821
68,964
73,077
78,205
76,191
74,174
68,891
74,318
70,619
76,986
73,285
73,279
74,839
68,558
66,295
75,907
73,633
77,727
78,517
76,055
71,589
78,218
67,648
71,106
75,629
71,265
70,151
73,875
75,338
75,614
77,757
69,421
74,868
72,093
78,002
71,466
73,828
67,037
67,948
74,139
68,618
79,839
70,021
66,638
76,735
66,379
78,788
69,421
73,576
66,574
78,228
66,734
73,441
77,45
77,779
79,831
79,513
74,651
65,546
71,73
65,681
76,109
66,375
65,993
68,516
67,418
74,186
68,635
65,102
74,766
75,959
67,397
75,27
73,211
70,15
69,702
72,41
72,805
74,316
