Sensor1;Sensor2;Sensor3;Sensor5;Sensor6;Ergebnis
50.26799403;52.25015783;50.76833139;48.75432391;49.8512092;2
75.92131414;81.82692689;67.57563182;59.76780975;65.0603087;3
74.79226401;80.5251985;63.34511244;58.45889522;63.25276006;3
61.76219944;65.50230053;74.7581384;60.11117379;65.53447809;3
72.15466343;77.48420019;67.12535372;62.33390335;68.60396177;3
61.01027242;64.63537291;79.78484399;62.38344239;68.67237282;3
77.27345309;83.38586357;75.6942647;54.54337728;57.84561625;3
83.60843726;90.68972766;75.21819288;58.43620514;63.22142615;3
73.72430577;79.29390548;70.43066847;59.63780021;64.88077172;3
55.85427875;58.6908155;78.47334763;56.8158894;60.98384727;3
76.34824232;82.31914997;74.61457989;64.35394065;71.39353709;3
87.21411536;94.84686241;81.23805645;65.56254997;73.06256901;3
78.49214075;84.79093875;57.97546982;65.00603198;72.29404416;3
69.0267429;73.87789181;66.24279837;56.98518638;61.21763834;3
71.70225292;76.96259748;74.3242926;60.24250118;65.71583497;3
59.40783257;62.78785402;74.55001259;56.68909333;60.80874794;3
82.59602413;89.52247488;72.84605823;49.88729965;51.41579475;3
68.03417836;72.73352329;73.77704736;60.78241703;66.46143304;3
59.99828449;63.46861035;69.12042528;59.58454634;64.80723066;3
56.81478019;59.79821716;76.62439902;66.29508793;74.07416904;3
91.24212187;99.49091699;68.18346077;56.02400964;59.89029903;3
69.84880674;74.82568306;73.35799063;56.35679739;60.34986307;3
80.91049853;87.57916301;64.54810586;52.80960162;55.45135462;3
56.54849605;59.49120721;78.06916295;52.56820445;55.11799661;2
73.77590823;79.35340007;62.24049702;55.36557732;58.98103534;3
68.1581982;72.87651086;55.16355549;66.58830174;74.47908336;3
68.00143883;72.69577653;77.53420044;55.45125718;59.09935515;3
66.02931666;70.42203568;64.00743354;56.05859864;59.93806479;3
75.55542954;81.40508347;71.69617101;55.53051009;59.20879965;3
86.56388577;94.09718594;72.99958401;59.58552041;64.80857581;3
65.9530146;70.3340639;66.17316029;61.86875684;67.96161659;3
57.56925834;60.66808608;70.25662723;49.32455526;50.63867154;2
65.25568569;69.53008468;54.95395243;57.76555398;62.29528883;3
63.05224151;66.98964315;65.34443315;55.89793458;59.71619537;3
63.2358844;67.20137261;74.20403807;52.56923581;55.11942088;3
50.3816354;52.38117963;66.42679028;54.50368875;57.79080828;2
67.10852308;71.66629719;72.68503833;60.17585387;65.6237982;3
85.04518877;92.34621765;73.79769562;56.44048137;60.46542665;3
84.57361577;91.80252171;69.09049029;51.83635407;54.10734609;3
77.77967898;83.96951224;56.95434373;53.76761741;56.7743288;3
72.67399287;78.08295648;76.45285581;57.17671505;61.48213031;3
74.87788157;80.62391051;68.90840717;56.14178125;60.05293601;3
67.29592503;71.88236062;66.69783187;61.52864447;67.4919376;3
75.26716121;81.07272705;78.98291477;53.5318641;56.44876471;3
75.00105102;80.76591765;81.84276493;60.27745307;65.76410185;3
81.00303507;87.6858522;73.17184094;59.06185337;64.08541656;3
68.25991495;72.99378429;68.45570573;64.78077379;71.98297333;3
73.95908728;79.56459475;74.69496535;60.89984485;66.62359526;3
51.59164534;53.77624992;71.95176789;57.37110863;61.75057859;2
70.24094675;75.27779743;70.29707723;55.83256692;59.62592575;3
68.86292926;73.68902432;82.78388731;54.38213069;57.62294238;3
57.03344318;60.05032272;69.86201146;59.71331442;64.98505325;3
66.93359655;71.4646172;60.06909365;65.59322359;73.10492781;3
65.24884402;69.52219663;66.39533655;63.13933412;69.71622331;3
76.97231314;83.03866692;59.48680945;59.12451846;64.17195407;3
73.95110533;79.55539202;64.3741227;60.56189549;66.15690329;3
69.44462616;74.35968663;69.36577273;59.57741272;64.79737947;3
64.68231863;68.86902618;67.68577799;52.90784888;55.5870294;2
65.02676019;69.26614704;69.65103074;61.80458289;67.87299542;3
77.57628413;83.73500994;67.17876698;60.17385321;65.62103538;3
76.04040565;81.9642324;72.96363214;54.35617462;57.58709829;3
83.27914788;90.31007638;64.762705;58.22532879;62.93021595;3
77.4103832;83.54373593;63.17411698;63.48095534;70.18798595;3
57.1549312;60.19039127;75.24921506;58.29450678;63.02574746;3
